                                 Root            Product Name
*  Coffee Mug                            GroupHeader             Product Name
**  Canada                               GroupHeader             Country
***  BC                          GroupHeader             State
****  Prince George                              GroupHeader             City
*****  1                 20201JanCount           Measure                 Month
*****  14                20201JanQuantity                Measure                 Month
*****  $210.00           20201JanRevenue                 Measure                 Month
*****  1                 20201FebCount           Measure                 Month
*****  22                20201FebQuantity                Measure                 Month
*****  $330.00           20201FebRevenue                 Measure                 Month
*****  2                 20201Count              Total           Quarter
*****  36                20201Quantity           Total           Quarter
*****  $540.00           20201Revenue            Total           Quarter
*****  2                 20202AprCount           Measure                 Month
*****  78                20202AprQuantity                Measure                 Month
*****  $1,090.00                 20202AprRevenue                 Measure                 Month
*****  2                 20202Count              Total           Quarter
*****  78                20202Quantity           Total           Quarter
*****  $1,090.00                 20202Revenue            Total           Quarter
*****  2                 20203SeptCount          Measure                 Month
*****  57                20203SeptQuantity               Measure                 Month
*****  $849.00           20203SeptRevenue                Measure                 Month
*****  2                 20203Count              Total           Quarter
*****  57                20203Quantity           Total           Quarter
*****  $849.00           20203Revenue            Total           Quarter
*****  1                 20204NovCount           Measure                 Month
*****  60                20204NovQuantity                Measure                 Month
*****  $900.00           20204NovRevenue                 Measure                 Month
*****  1                 20204DecCount           Measure                 Month
*****  91                20204DecQuantity                Measure                 Month
*****  $1,365.00                 20204DecRevenue                 Measure                 Month
*****  2                 20204Count              Total           Quarter
*****  151               20204Quantity           Total           Quarter
*****  $2,265.00                 20204Revenue            Total           Quarter
*****  8                 2020Count               Total           Year
*****  322               2020Quantity            Total           Year
*****  $4,744.00                 2020Revenue             Total           Year

*****  8                 Count           GrandTotal              City
*****  322               Quantity                GrandTotal              City
*****  $4,744.00                 Revenue                 GrandTotal              City


****  Vancouver                          GroupHeader             City
*****  2                 20201JanCount           Measure                 Month
*****  47                20201JanQuantity                Measure                 Month
*****  $611.00           20201JanRevenue                 Measure                 Month
*****  2                 20201Count              Total           Quarter
*****  47                20201Quantity           Total           Quarter
*****  $611.00           20201Revenue            Total           Quarter
*****  2                 20202AprCount           Measure                 Month
*****  42                20202AprQuantity                Measure                 Month
*****  $630.00           20202AprRevenue                 Measure                 Month
*****  2                 20202Count              Total           Quarter
*****  42                20202Quantity           Total           Quarter
*****  $630.00           20202Revenue            Total           Quarter
*****  2                 20203SeptCount          Measure                 Month
*****  75                20203SeptQuantity               Measure                 Month
*****  $1,125.00                 20203SeptRevenue                Measure                 Month
*****  2                 20203Count              Total           Quarter
*****  75                20203Quantity           Total           Quarter
*****  $1,125.00                 20203Revenue            Total           Quarter
*****  1                 20204NovCount           Measure                 Month
*****  62                20204NovQuantity                Measure                 Month
*****  $806.00           20204NovRevenue                 Measure                 Month
*****  1                 20204DecCount           Measure                 Month
*****  70                20204DecQuantity                Measure                 Month
*****  $910.00           20204DecRevenue                 Measure                 Month
*****  2                 20204Count              Total           Quarter
*****  132               20204Quantity           Total           Quarter
*****  $1,716.00                 20204Revenue            Total           Quarter
*****  8                 2020Count               Total           Year
*****  296               2020Quantity            Total           Year
*****  $4,082.00                 2020Revenue             Total           Year
*****  8                 Count           GrandTotal              City
*****  296               Quantity                GrandTotal              City
*****  $4,082.00                 Revenue                 GrandTotal              City
***  BC Total                            TotalHeader             State
****  3          20201JanCount           Total           Month
****  61                 20201JanQuantity                Total           Month
****  $821.00            20201JanRevenue                 Total           Month
****  1          20201FebCount           Total           Month
****  22                 20201FebQuantity                Total           Month
****  $330.00            20201FebRevenue                 Total           Month
****  4          20201Count              Total           Quarter
****  83                 20201Quantity           Total           Quarter
****  $1,151.00          20201Revenue            Total           Quarter
****  4          20202AprCount           Total           Month
****  120                20202AprQuantity                Total           Month
****  $1,720.00          20202AprRevenue                 Total           Month
****  4          20202Count              Total           Quarter
